1|<br/>This report is published by Karnataka Learning Partnership for providing the Elected Representatives of Assembly and Parliamentary constituencies a holistic view of the public education profile of their respective electoral regions. <br/><br/>This report provides information on the demographics - Distribution of Government schools by Medium of Instruction and Categories.<br/>|<br/>ಚುನಾಯಿತ ವಿಧಾನ ಸಭಾ ಸದಸ್ಯರು ಮತ್ತು ಲೋಕಸಭಾ ಸದಸ್ಯರಿಗೆ, ತಮ್ಮ ಕ್ಷೇತ್ರದ ಪ್ರಾಥಮಿಕ ಶಿಕ್ಷಣದ ಸಮಗ್ರ ವಿವರ ನೀಡಲು ಕರ್ನಾಟಕ  ಕಲಿಕಾ ಸಹಭಾಗಿತ್ವವು ಈ ವರದಿಯನ್ನು  ಪ್ರಕಟಿಸಿದೆ.<br/><br/>ಈ ವರದಿಯಲ್ಲಿ  ಶಾಲಾ (ಪ್ರವರ್ಗ ಹಾಗು ಬೋಧನಾ ಮಾಧ್ಯಮ) ವಿವರ ನೀಡಿದ್ದೇವೆ.<br/>
2|<br/>This  constituency has |<br/>ಈ ವಿಧಾನ ಸಭಾ ಕ್ಷೇತ್ರದಲ್ಲಿ
3| Government Schools with | ಸರ್ಕಾರಿ ಶಾಲೆಗಳಲ್ಲಿ, 
4| Boys and | ಬಾಲಕರು, ಮತ್ತು
5| Girls enrolled. <br>| ಬಾಲಕಿಯರು  ದಾಖಲಾತಿ ಪಡೆದಿದ್ದಾರೆ. <br>
6| Among them| ಇದರಲ್ಲಿ
UPPER PRIMARY| Upper Primary Schools| ಸರ್ಕಾರಿ ಹಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆಗಳು
LOWER PRIMARY| Lower Primary Schools| ಸರ್ಕಾರಿ ಕಿರಿಯ ಪ್ರಾಥಮಿಕ ಶಾಲೆಗಳು
AND| and| ಮತ್ತು
MODEL PRIMARY| Model Primary Schools| ಸರ್ಕಾರಿ ಮಾದರಿ ಪ್ರಾಥಮಿಕ ಶಾಲೆಗಳು
7| Among these Government Schools,| ಈ  ಶಾಲೆಗಳಲ್ಲಿ,
KANNADA MEDIUM| Kannada Medium Schools| ಕನ್ನಡ ಮಾಧ್ಯಮ ಶಾಲೆಗಳು
TAMIL MEDIUM| Tamil Medium Schools| ತಮಿಳು ಮಾಧ್ಯಮ ಶಾಲೆಗಳು
URDU MEDIUM| Urdu Medium Schools| ಉರ್ದು ಮಾಧ್ಯಮ ಶಾಲೆಗಳು
